detector,grouping,group_value,n,caught,detection_rate,mean_score
distilbert,real_baseline,real_phishing,967,960,0.9927611168562565,0.9932638448471037
distilbert,overall,synthetic_all,229,229,1.0,0.99990301751674
distilbert,method,few_shot,64,64,1.0,0.9998980527743697
distilbert,method,rephrasing,100,100,1.0,0.9999188387393951
distilbert,method,zero_shot,65,65,1.0,0.9998835655359122
distilbert,sophistication,bulk,79,79,1.0,0.9999061581454699
distilbert,sophistication,rephrased,100,100,1.0,0.9999188387393951
distilbert,sophistication,spear,50,50,1.0,0.9998664128780365
distilbert,method_scenario,few_shot:account_suspension,5,5,1.0,0.9999083518981934
distilbert,method_scenario,few_shot:ceo_wire_transfer,5,5,1.0,0.9998843669891357
distilbert,method_scenario,few_shot:colleague_impersonation,4,4,1.0,0.9998289793729782
distilbert,method_scenario,few_shot:delivery_notification,5,5,1.0,0.9999088287353516
distilbert,method_scenario,few_shot:document_share,6,6,1.0,0.999894400437673
distilbert,method_scenario,few_shot:fake_invoice,5,5,1.0,0.999911618232727
distilbert,method_scenario,few_shot:hr_benefits,6,6,1.0,0.9998972018559774
distilbert,method_scenario,few_shot:it_department,4,4,1.0,0.9999051690101624
distilbert,method_scenario,few_shot:linkedin_recruiter,4,4,1.0,0.9998883903026581
distilbert,method_scenario,few_shot:password_reset,3,3,1.0,0.9999099175135294
distilbert,method_scenario,few_shot:prize_reward,6,6,1.0,0.9999048113822937
distilbert,method_scenario,few_shot:security_alert,5,5,1.0,0.9999094486236573
distilbert,method_scenario,few_shot:vendor_impersonation,6,6,1.0,0.9999106526374817
distilbert,method_scenario,rephrasing:rephrased_real,100,100,1.0,0.9999188387393951
distilbert,method_scenario,zero_shot:account_suspension,3,3,1.0,0.9999038378397623
distilbert,method_scenario,zero_shot:ceo_wire_transfer,4,4,1.0,0.9996613711118698
distilbert,method_scenario,zero_shot:colleague_impersonation,5,5,1.0,0.9998356699943542
distilbert,method_scenario,zero_shot:delivery_notification,5,5,1.0,0.9999085664749146
distilbert,method_scenario,zero_shot:document_share,5,5,1.0,0.9999003887176514
distilbert,method_scenario,zero_shot:fake_invoice,6,6,1.0,0.9999140501022339
distilbert,method_scenario,zero_shot:hr_benefits,6,6,1.0,0.9999003410339355
distilbert,method_scenario,zero_shot:it_department,6,6,1.0,0.9999045928319296
distilbert,method_scenario,zero_shot:linkedin_recruiter,4,4,1.0,0.9998746812343597
distilbert,method_scenario,zero_shot:password_reset,2,2,1.0,0.9999125599861145
distilbert,method_scenario,zero_shot:prize_reward,7,7,1.0,0.9998995235988072
distilbert,method_scenario,zero_shot:security_alert,6,6,1.0,0.9999099373817444
distilbert,method_scenario,zero_shot:vendor_impersonation,6,6,1.0,0.9999095996220907
