detector,grouping,group_value,n,caught,detection_rate,mean_score
distilbert,real_baseline,real_phishing,967,962,0.9948293691830403,0.9929807016018282
distilbert,overall,synthetic_all,457,415,0.9080962800875274,0.9083357555368871
distilbert,method,few_shot,127,108,0.8503937007874016,0.8567004223192829
distilbert,method,rephrasing,200,200,1.0,0.999250622689724
distilbert,method,zero_shot,130,107,0.823076923076923,0.8189104777527973
distilbert,sophistication,bulk,157,155,0.9872611464968153,0.9830629230613351
distilbert,sophistication,rephrased,200,200,1.0,0.999250622689724
distilbert,sophistication,spear,100,60,0.6,0.6091843682178296
distilbert,method_scenario,few_shot:account_suspension,10,10,1.0,0.9992198526859284
distilbert,method_scenario,few_shot:ceo_wire_transfer,10,1,0.1,0.220746935904026
distilbert,method_scenario,few_shot:colleague_impersonation,10,0,0.0,0.00954762627370652
distilbert,method_scenario,few_shot:delivery_notification,10,10,1.0,0.9989872634410858
distilbert,method_scenario,few_shot:document_share,10,10,1.0,0.9985964715480804
distilbert,method_scenario,few_shot:fake_invoice,10,10,1.0,0.9991378962993622
distilbert,method_scenario,few_shot:hr_benefits,10,10,1.0,0.9843805074691773
distilbert,method_scenario,few_shot:it_department,10,10,1.0,0.9990002989768982
distilbert,method_scenario,few_shot:linkedin_recruiter,10,10,1.0,0.9754721045494079
distilbert,method_scenario,few_shot:password_reset,7,7,1.0,0.9988851291792733
distilbert,method_scenario,few_shot:prize_reward,10,10,1.0,0.9976296782493591
distilbert,method_scenario,few_shot:security_alert,10,10,1.0,0.9991826236248016
distilbert,method_scenario,few_shot:vendor_impersonation,10,10,1.0,0.9989745140075683
distilbert,method_scenario,rephrasing:rephrased_real,200,200,1.0,0.999250622689724
distilbert,method_scenario,zero_shot:account_suspension,10,10,1.0,0.9991553783416748
distilbert,method_scenario,zero_shot:ceo_wire_transfer,10,0,0.0,0.05719172945246098
distilbert,method_scenario,zero_shot:colleague_impersonation,10,0,0.0,0.00814908936154092
distilbert,method_scenario,zero_shot:delivery_notification,10,10,1.0,0.9990594804286956
distilbert,method_scenario,zero_shot:document_share,10,8,0.8,0.7520662384107709
distilbert,method_scenario,zero_shot:fake_invoice,10,10,1.0,0.9991679072380066
distilbert,method_scenario,zero_shot:hr_benefits,10,10,1.0,0.9978318512439728
distilbert,method_scenario,zero_shot:it_department,10,10,1.0,0.9979459345340729
distilbert,method_scenario,zero_shot:linkedin_recruiter,10,9,0.9,0.8430444747209549
distilbert,method_scenario,zero_shot:password_reset,10,10,1.0,0.9990277290344238
distilbert,method_scenario,zero_shot:prize_reward,10,10,1.0,0.9975535869598389
distilbert,method_scenario,zero_shot:security_alert,10,10,1.0,0.9991379618644715
distilbert,method_scenario,zero_shot:vendor_impersonation,10,10,1.0,0.9965048491954803
