id,label,subject,score,prediction
zs_bulk_account_suspension_0,phishing,Urgent: Account Suspension Notification,0.9991121888160706,phishing
zs_bulk_account_suspension_1,phishing,Urgent: Your Wells Fargo Account Suspended - Verify Now!,0.9990552067756653,phishing
zs_bulk_account_suspension_2,phishing,Urgent: Wells Fargo Account Suspended Due to Security Concerns,0.999218225479126,phishing
zs_bulk_account_suspension_3,phishing,Urgent: Account Activity Notification from Wells Fargo,0.9992334842681885,phishing
zs_bulk_account_suspension_4,phishing,Urgent: Account Suspended - Verify Your Identity Now!,0.9990144968032837,phishing
zs_bulk_account_suspension_5,phishing,Urgent: Account Activity Alert - Your Wells Fargo Account Has Been Suspended,0.999036431312561,phishing
zs_bulk_account_suspension_6,phishing,Urgent: Account Activity Alert - Wells Fargo Secure Verify Required,0.9992142915725708,phishing
zs_bulk_account_suspension_7,phishing,Urgent: Account Activity Alert - Wells Fargo Secure Access Notice,0.9992684721946716,phishing
zs_bulk_account_suspension_8,phishing,Urgent: Your Wells Fargo Account Temporarily Suspended,0.9991469383239746,phishing
zs_bulk_account_suspension_9,phishing,Urgent: Your Wells Fargo Account Temporarily Suspended - Verify Now!,0.999254047870636,phishing
zs_bulk_password_reset_0,phishing,"Your Email Password Expiration Notice - act by March 18, 2025!",0.9989950060844421,phishing
zs_bulk_password_reset_1,phishing,"Urgent: Your Outlook.com Password Expiration Alert (March 18, 2025)",0.9986063838005066,phishing
zs_bulk_password_reset_2,phishing,"Your Email Password Expiration Notice - Action Required by March 18, 2025!",0.9988189339637756,phishing
zs_bulk_password_reset_3,phishing,"Your Email Password Expiration Reminder - Take Action by March 18, 2025!",0.9990509152412415,phishing
zs_bulk_password_reset_4,phishing,"Important: Your Email Password Expiration Reminder - March 18, 2025",0.9993000030517578,phishing
zs_bulk_password_reset_5,phishing,Important: Password Expiration Notice for your hotmail.com Account,0.9992197751998901,phishing
zs_bulk_password_reset_6,phishing,"Your Email Password Expiration Notice - Take Action by March 18, 2025!",0.9991533756256104,phishing
zs_bulk_password_reset_7,phishing,"Your Email Password Expiration Notification - Action Required by March 18th, 2025",0.9989553689956665,phishing
zs_bulk_password_reset_8,phishing,Important: Your Password Expiration Notice - 03/18/2025,0.9988495111465454,phishing
zs_bulk_password_reset_9,phishing,Your email password expiration notice - act now!,0.9993280172348022,phishing
zs_bulk_prize_0,phishing,You Have Won a $500 Amazon Gift Card!,0.9976462721824646,phishing
zs_bulk_prize_1,phishing,You've Won a $500 Amazon Gift Card!,0.9929894208908081,phishing
zs_bulk_prize_2,phishing,You've Won a $500 Amazon Gift Card!,0.9984207153320312,phishing
zs_bulk_prize_3,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9987622499465942,phishing
zs_bulk_prize_4,phishing,You've Won a $500 Amazon Gift Card!,0.9984555244445801,phishing
zs_bulk_prize_5,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9982755184173584,phishing
zs_bulk_prize_6,phishing,Congratulations! You Have Won a $500 Amazon Gift Card!,0.9985156655311584,phishing
zs_bulk_prize_7,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9972152709960938,phishing
zs_bulk_prize_8,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9974871873855591,phishing
zs_bulk_prize_9,phishing,Congratulations! You've Won a $500 Amazon Gift Card!,0.9977680444717407,phishing
zs_bulk_it_department_0,phishing,Your Mailbox Alert: Storage Upgrade Required,0.9977936744689941,phishing
zs_bulk_it_department_1,phishing,Your Email Storage is Reaching Critical Levels - Upgrade Now!,0.9982278943061829,phishing
zs_bulk_it_department_2,phishing,Mailbox Alert: Storage Capacity at 97%,0.9971344470977783,phishing
zs_bulk_it_department_3,phishing,Mailbox Storage Alert - Upgrade Required for Continued Service,0.9985230565071106,phishing
zs_bulk_it_department_4,phishing,Mailbox Storage Alert: Upgrade Required - 97% Capacity Reached!,0.9977237582206726,phishing
zs_bulk_it_department_5,phishing,Mailbox Storage Alert - Upgrade Required,0.9989320635795593,phishing
zs_bulk_it_department_6,phishing,Urgent: Your Mailbox Storage Capacity Alert,0.9979875087738037,phishing
zs_bulk_it_department_7,phishing,Mailbox Storage Alert - Upgrade Required,0.9973871111869812,phishing
zs_bulk_it_department_8,phishing,Mailbox Alert: Storage Upgrade Required for meridiancorp.com Account,0.9977790713310242,phishing
zs_bulk_it_department_9,phishing,Mailbox Storage Alert - Urgent Action Required,0.9979707598686218,phishing
zs_bulk_invoice_0,phishing,Your McAfee Total Protection Subscription Renewal Confirmation,0.9991945624351501,phishing
zs_bulk_invoice_1,phishing,Your McAfee Total Protection Subscription Renewal - INV-2025-88432,0.9988594055175781,phishing
