detector,grouping,group_value,n,caught,detection_rate,mean_score
logistic_regression,real_baseline,real_phishing,967,948,0.9803516028955532,0.9423846871499593
logistic_regression,overall,synthetic_all,229,223,0.9737991266375546,0.9246373954010637
logistic_regression,method,few_shot,64,63,0.984375,0.9053028631052664
logistic_regression,method,rephrasing,100,100,1.0,0.9685615574632425
logistic_regression,method,zero_shot,65,60,0.9230769230769231,0.8760988394120354
logistic_regression,sophistication,bulk,79,79,1.0,0.9599203133597393
logistic_regression,sophistication,rephrased,100,100,1.0,0.9685615574632425
logistic_regression,sophistication,spear,50,44,0.88,0.7810420609019989
logistic_regression,method_scenario,few_shot:account_suspension,5,5,1.0,0.9870893221891777
logistic_regression,method_scenario,few_shot:ceo_wire_transfer,5,4,0.8,0.6168200198064452
logistic_regression,method_scenario,few_shot:colleague_impersonation,4,4,1.0,0.597750943266367
logistic_regression,method_scenario,few_shot:delivery_notification,5,5,1.0,0.9515483263988311
logistic_regression,method_scenario,few_shot:document_share,6,6,1.0,0.928822942004038
logistic_regression,method_scenario,few_shot:fake_invoice,5,5,1.0,0.9660027792901431
logistic_regression,method_scenario,few_shot:hr_benefits,6,6,1.0,0.9481926103408803
logistic_regression,method_scenario,few_shot:it_department,4,4,1.0,0.9388961151264315
logistic_regression,method_scenario,few_shot:linkedin_recruiter,4,4,1.0,0.8797445793516764
logistic_regression,method_scenario,few_shot:password_reset,3,3,1.0,0.9728955135851912
logistic_regression,method_scenario,few_shot:prize_reward,6,6,1.0,0.9531045341716528
logistic_regression,method_scenario,few_shot:security_alert,5,5,1.0,0.9713845175393333
logistic_regression,method_scenario,few_shot:vendor_impersonation,6,6,1.0,0.9850308002974161
logistic_regression,method_scenario,rephrasing:rephrased_real,100,100,1.0,0.9685615574632425
logistic_regression,method_scenario,zero_shot:account_suspension,3,3,1.0,0.9926579049446064
logistic_regression,method_scenario,zero_shot:ceo_wire_transfer,4,2,0.5,0.4851167889408615
logistic_regression,method_scenario,zero_shot:colleague_impersonation,5,2,0.4,0.5212337620425418
logistic_regression,method_scenario,zero_shot:delivery_notification,5,5,1.0,0.9565915224599418
logistic_regression,method_scenario,zero_shot:document_share,5,5,1.0,0.9546045059228743
logistic_regression,method_scenario,zero_shot:fake_invoice,6,6,1.0,0.96980842575949
logistic_regression,method_scenario,zero_shot:hr_benefits,6,6,1.0,0.8392778706877216
logistic_regression,method_scenario,zero_shot:it_department,6,6,1.0,0.9442574605086538
logistic_regression,method_scenario,zero_shot:linkedin_recruiter,4,4,1.0,0.7682019044207276
logistic_regression,method_scenario,zero_shot:password_reset,2,2,1.0,0.9938162386217704
logistic_regression,method_scenario,zero_shot:prize_reward,7,7,1.0,0.9430365883348629
logistic_regression,method_scenario,zero_shot:security_alert,6,6,1.0,0.9800844000120318
logistic_regression,method_scenario,zero_shot:vendor_impersonation,6,6,1.0,0.9672615973300616
