detector,grouping,group_value,n,caught,detection_rate,mean_score
logistic_regression,real_baseline,real_phishing,967,948,0.9803516028955532,0.9420554174642757
logistic_regression,overall,synthetic_all,457,406,0.888402625820569,0.846265923936665
logistic_regression,method,few_shot,127,106,0.8346456692913385,0.7845016033112108
logistic_regression,method,rephrasing,200,200,1.0,0.9538208388803898
logistic_regression,method,zero_shot,130,100,0.7692307692307693,0.741135814172724
logistic_regression,sophistication,bulk,157,157,1.0,0.9320180384898511
logistic_regression,sophistication,rephrased,200,200,1.0,0.9538208388803898
logistic_regression,sophistication,spear,100,49,0.49,0.49652527420071274
logistic_regression,method_scenario,few_shot:account_suspension,10,10,1.0,0.980406571606057
logistic_regression,method_scenario,few_shot:ceo_wire_transfer,10,2,0.2,0.29742430263507835
logistic_regression,method_scenario,few_shot:colleague_impersonation,10,0,0.0,0.19371742464224456
logistic_regression,method_scenario,few_shot:delivery_notification,10,10,1.0,0.9163827958057735
logistic_regression,method_scenario,few_shot:document_share,10,10,1.0,0.883780655058968
logistic_regression,method_scenario,few_shot:fake_invoice,10,10,1.0,0.9340925970840879
logistic_regression,method_scenario,few_shot:hr_benefits,10,10,1.0,0.8260543321391784
logistic_regression,method_scenario,few_shot:it_department,10,10,1.0,0.908484713276869
logistic_regression,method_scenario,few_shot:linkedin_recruiter,10,7,0.7,0.532302272017674
logistic_regression,method_scenario,few_shot:password_reset,7,7,1.0,0.9618952831254122
logistic_regression,method_scenario,few_shot:prize_reward,10,10,1.0,0.9101292288151439
logistic_regression,method_scenario,few_shot:security_alert,10,10,1.0,0.9543549705180533
logistic_regression,method_scenario,few_shot:vendor_impersonation,10,10,1.0,0.9527138002654608
logistic_regression,method_scenario,rephrasing:rephrased_real,200,200,1.0,0.9538208388803898
logistic_regression,method_scenario,zero_shot:account_suspension,10,10,1.0,0.9738147962580038
logistic_regression,method_scenario,zero_shot:ceo_wire_transfer,10,0,0.0,0.16445830406549253
logistic_regression,method_scenario,zero_shot:colleague_impersonation,10,0,0.0,0.05611054515543803
logistic_regression,method_scenario,zero_shot:delivery_notification,10,10,1.0,0.918691494602062
logistic_regression,method_scenario,zero_shot:document_share,10,10,1.0,0.9270447764972584
logistic_regression,method_scenario,zero_shot:fake_invoice,10,10,1.0,0.9404829244071194
logistic_regression,method_scenario,zero_shot:hr_benefits,10,8,0.8,0.674524010564321
logistic_regression,method_scenario,zero_shot:it_department,10,10,1.0,0.8963657315908327
logistic_regression,method_scenario,zero_shot:linkedin_recruiter,10,2,0.2,0.36403975016163936
logistic_regression,method_scenario,zero_shot:password_reset,10,10,1.0,0.9779192116524807
logistic_regression,method_scenario,zero_shot:prize_reward,10,10,1.0,0.8833077287608282
logistic_regression,method_scenario,zero_shot:security_alert,10,10,1.0,0.9540983101693362
logistic_regression,method_scenario,zero_shot:vendor_impersonation,10,10,1.0,0.9039080003606006
