detector,grouping,group_value,n,caught,detection_rate,mean_score
xgboost,real_baseline,real_phishing,967,942,0.9741468459152016,0.9720927832379451
xgboost,overall,synthetic_all,229,227,0.9912663755458515,0.9870005607865263
xgboost,method,few_shot,64,64,1.0,0.9868425549939275
xgboost,method,rephrasing,100,100,1.0,0.9977892237901688
xgboost,method,zero_shot,65,63,0.9692307692307692,0.9705581926382505
xgboost,sophistication,bulk,79,79,1.0,0.9978804135624366
xgboost,sophistication,rephrased,100,100,1.0,0.9977892237901688
xgboost,sophistication,spear,50,48,0.96,0.9482330673933029
xgboost,method_scenario,few_shot:account_suspension,5,5,1.0,0.9999055624008178
xgboost,method_scenario,few_shot:ceo_wire_transfer,5,5,1.0,0.8652923107147217
xgboost,method_scenario,few_shot:colleague_impersonation,4,4,1.0,0.9775108844041824
xgboost,method_scenario,few_shot:delivery_notification,5,5,1.0,0.9984646916389466
xgboost,method_scenario,few_shot:document_share,6,6,1.0,0.9936806162198385
xgboost,method_scenario,few_shot:fake_invoice,5,5,1.0,0.9997767925262451
xgboost,method_scenario,few_shot:hr_benefits,6,6,1.0,0.9988813698291779
xgboost,method_scenario,few_shot:it_department,4,4,1.0,0.9991893023252487
xgboost,method_scenario,few_shot:linkedin_recruiter,4,4,1.0,0.9961593002080917
xgboost,method_scenario,few_shot:password_reset,3,3,1.0,0.999975323677063
xgboost,method_scenario,few_shot:prize_reward,6,6,1.0,0.9991433123747507
xgboost,method_scenario,few_shot:security_alert,5,5,1.0,0.9998788714408875
xgboost,method_scenario,few_shot:vendor_impersonation,6,6,1.0,0.9999561111132304
xgboost,method_scenario,rephrasing:rephrased_real,100,100,1.0,0.9977892237901688
xgboost,method_scenario,zero_shot:account_suspension,3,3,1.0,0.9998791416486105
xgboost,method_scenario,zero_shot:ceo_wire_transfer,4,3,0.75,0.8217270225286484
xgboost,method_scenario,zero_shot:colleague_impersonation,5,4,0.8,0.8160500943660736
xgboost,method_scenario,zero_shot:delivery_notification,5,5,1.0,0.9955131411552429
xgboost,method_scenario,zero_shot:document_share,5,5,1.0,0.9978658556938171
xgboost,method_scenario,zero_shot:fake_invoice,6,6,1.0,0.9998799463113149
xgboost,method_scenario,zero_shot:hr_benefits,6,6,1.0,0.9844478368759155
xgboost,method_scenario,zero_shot:it_department,6,6,1.0,0.9924443662166595
xgboost,method_scenario,zero_shot:linkedin_recruiter,4,4,1.0,0.9810112714767456
xgboost,method_scenario,zero_shot:password_reset,2,2,1.0,0.9998247921466827
xgboost,method_scenario,zero_shot:prize_reward,7,7,1.0,0.9957499418939862
xgboost,method_scenario,zero_shot:security_alert,6,6,1.0,0.9997364779313406
xgboost,method_scenario,zero_shot:vendor_impersonation,6,6,1.0,0.999932587146759
