detector,grouping,group_value,n,caught,detection_rate,mean_score
xgboost,real_baseline,real_phishing,967,947,0.9793174767321613,0.9723382858185564
xgboost,overall,synthetic_all,457,420,0.9190371991247265,0.916961550367893
xgboost,method,few_shot,127,115,0.905511811023622,0.8994041847167756
xgboost,method,rephrasing,200,199,0.995,0.9921375064551831
xgboost,method,zero_shot,130,106,0.8153846153846154,0.8184584289850766
xgboost,sophistication,bulk,157,157,1.0,0.9925307809926902
xgboost,sophistication,rephrased,200,199,0.995,0.9921375064551831
xgboost,sophistication,spear,100,64,0.64,0.647965946112381
xgboost,method_scenario,few_shot:account_suspension,10,10,1.0,0.9998272955417633
xgboost,method_scenario,few_shot:ceo_wire_transfer,10,6,0.6,0.6332595713436604
xgboost,method_scenario,few_shot:colleague_impersonation,10,2,0.2,0.2605599774047732
xgboost,method_scenario,few_shot:delivery_notification,10,10,1.0,0.9932751059532166
xgboost,method_scenario,few_shot:document_share,10,10,1.0,0.9900353968143463
xgboost,method_scenario,few_shot:fake_invoice,10,10,1.0,0.9974099040031433
xgboost,method_scenario,few_shot:hr_benefits,10,10,1.0,0.9970988750457763
xgboost,method_scenario,few_shot:it_department,10,10,1.0,0.9958099782466888
xgboost,method_scenario,few_shot:linkedin_recruiter,10,10,1.0,0.8615501761436463
xgboost,method_scenario,few_shot:password_reset,7,7,1.0,0.9998602015631539
xgboost,method_scenario,few_shot:prize_reward,10,10,1.0,0.9945160269737243
xgboost,method_scenario,few_shot:security_alert,10,10,1.0,0.9992987811565399
xgboost,method_scenario,few_shot:vendor_impersonation,10,10,1.0,0.9998899161815643
xgboost,method_scenario,rephrasing:rephrased_real,200,199,0.995,0.9921375064551831
xgboost,method_scenario,zero_shot:account_suspension,10,10,1.0,0.9994921386241913
xgboost,method_scenario,zero_shot:ceo_wire_transfer,10,3,0.3,0.30939740501344204
xgboost,method_scenario,zero_shot:colleague_impersonation,10,0,0.0,0.01636598527984455
xgboost,method_scenario,zero_shot:delivery_notification,10,10,1.0,0.9896899580955505
xgboost,method_scenario,zero_shot:document_share,10,10,1.0,0.9904513001441956
xgboost,method_scenario,zero_shot:fake_invoice,10,10,1.0,0.9994287014007568
xgboost,method_scenario,zero_shot:hr_benefits,10,10,1.0,0.963878071308136
xgboost,method_scenario,zero_shot:it_department,10,10,1.0,0.9713554143905639
xgboost,method_scenario,zero_shot:linkedin_recruiter,10,3,0.3,0.4381199233233929
xgboost,method_scenario,zero_shot:password_reset,10,10,1.0,0.9992746829986572
xgboost,method_scenario,zero_shot:prize_reward,10,10,1.0,0.9637745559215546
xgboost,method_scenario,zero_shot:security_alert,10,10,1.0,0.9991918802261353
xgboost,method_scenario,zero_shot:vendor_impersonation,10,10,1.0,0.9995395600795746
